film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture
Bless the Beasts & Children,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Sunday Bloody Sunday,1971,4.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Friends (Foreign Language Film),1971,,,,,,1.0,0.0,0.0,0.0,0.0
Straw Dogs,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Sentinels of Silence,1971,2.0,2.0,0.0,0.0,0.0,,,,,
Going Home,1971,,,,,,1.0,0.0,1.0,0.0,0.0
The Numbers Start with the River,1971,1.0,0.0,0.0,0.0,0.0,,,,,
On Any Sunday,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Harold and Maude,1971,,,,,,2.0,0.0,2.0,0.0,0.0
The Last Picture Show,1971,6.0,1.0,4.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0
The French Connection,1971,8.0,5.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0
Honky,1971,,,,,,1.0,0.0,0.0,0.0,0.0
Good Morning,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Tchaikovsky,1971,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The Garden of the Finzi Continis,1971,2.0,1.0,0.0,0.0,0.0,,,,,
The Policeman,1971,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Fiddler on the Roof,1971,8.0,3.0,4.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0
The Emigrants,1971,1.0,0.0,0.0,0.0,0.0,,,,,
The Hospital,1971,2.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Death in Venice,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Somebody Waiting,1971,1.0,0.0,0.0,0.0,0.0,,,,,
When Dinosaurs Ruled the Earth,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Sometimes a Great Notion,1971,2.0,0.0,1.0,0.0,0.0,,,,,
What's the Matter with Helen?,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Willy Wonka and the Chocolate Factory,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Nicholas and Alexandra,1971,6.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Klute,1971,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
The Selfish Giant,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Carnal Knowledge,1971,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0
The Crunch Bird,1971,1.0,1.0,0.0,0.0,0.0,,,,,
The Conformist,1971,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Diamonds Are Forever,1971,1.0,0.0,0.0,0.0,0.0,,,,,
"$1,000,000 Duck",1971,,,,,,1.0,0.0,1.0,0.0,0.0
Kotch,1971,4.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0
The Go-Between,1971,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A New Leaf,1971,,,,,,2.0,0.0,2.0,0.0,0.0
The Boy Friend,1971,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
McCabe & Mrs. Miller,1971,1.0,0.0,1.0,0.0,0.0,,,,,
"Mary, Queen of Scots",1971,5.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Investigation of a Citizen above Suspicion,1971,1.0,0.0,0.0,0.0,0.0,,,,,
The Hellstrom Chronicle,1971,1.0,1.0,0.0,0.0,0.0,,,,,
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,1971,1.0,0.0,1.0,0.0,0.0,,,,,
The RA Expeditions,1971,1.0,0.0,0.0,0.0,0.0,,,,,
