,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
331,Frog Story,1972,1.0,0.0,0.0,,,
332,The Ruling Class,1972,1.0,0.0,0.0,1.0,0.0,0.0
333,Kansas City Bomber,1972,,,,1.0,0.0,0.0
334,Sleuth,1972,3.0,0.0,0.0,2.0,0.0,0.0
335,The New Land,1972,1.0,0.0,0.0,1.0,1.0,0.0
336,Sounder,1972,4.0,0.0,0.0,1.0,0.0,0.0
337,The Getaway,1972,,,,1.0,0.0,0.0
338,Molly and Lawless John,1972,,,,1.0,0.0,0.0
339,Selling Out,1972,1.0,0.0,0.0,,,
340,The Effect of Gamma Rays on Man-In-The-Moon Marigolds,1972,,,,1.0,0.0,0.0
341,Avanti!,1972,,,,6.0,1.0,0.0
342,The Little Ark,1972,1.0,0.0,0.0,,,
343,The Life and Times of Judge Roy Bean,1972,1.0,0.0,0.0,1.0,0.0,0.0
344,Fat City,1972,1.0,0.0,0.0,,,
345,Mirage,1972,,,,1.0,0.0,0.0
346,Hundertwasser's Rainy Day,1972,1.0,0.0,0.0,,,
347,The Poseidon Adventure,1972,9.0,2.0,0.0,4.0,1.0,0.0
348,Cries and Whispers,1972,,,,1.0,0.0,0.0
349,Russia,1972,,,,1.0,0.0,0.0
350,I Love You Rosa,1972,1.0,0.0,0.0,,,
351,Deliverance,1972,3.0,0.0,0.0,5.0,0.0,0.0
352,Butterflies Are Free,1972,3.0,1.0,0.0,4.0,0.0,0.0
353,Play It as It Lays,1972,,,,1.0,0.0,0.0
354,Solo,1972,1.0,0.0,0.0,,,
355,The Emigrants,1972,4.0,0.0,0.0,2.0,2.0,0.0
356,1776,1972,1.0,0.0,0.0,1.0,0.0,0.0
357,Marjoe,1972,1.0,1.0,0.0,1.0,0.0,0.0
358,Living Free,1972,,,,1.0,0.0,0.0
359,"X, Y & Zee",1972,,,,1.0,0.0,0.0
360,Walls of Fire,1972,,,,1.0,1.0,0.0
361,Ape and Super-Ape,1972,1.0,0.0,0.0,,,
362,Young Winston,1972,3.0,0.0,0.0,1.0,1.0,0.0
363,Manson,1972,1.0,0.0,0.0,,,
364,Man of La Mancha,1972,1.0,0.0,0.0,2.0,0.0,0.0
