year_film,year_ceremony,category,name,film,winner
1968,1969,Original song,Music by Jule Styne; Lyrics by Bob Merrill,Funny Girl,False
1968,1969,Original song,Music by Jimmy Van Heusen; Lyrics by Sammy Cahn,Star!,False
1968,1969,Original song,Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,The Thomas Crown Affair,True
1968,1969,Best picture,"Ray Stark, Producer",Funny Girl,False
1968,1969,Best picture,"Martin Poll, Producer",The Lion in Winter,False
1968,1969,Best picture,"John Woolf, Producer",Oliver!,True
1968,1969,Best picture,"Paul Newman, Producer","Rachel, Rachel",False
1968,1969,Best picture,"Anthony Havelock-Allan and John Brabourne, Producers",Romeo and Juliet,False
1968,1969,Short film animated,"Wolf Koenig and Jim MacKay, Producers",The House That Jack Built,False
1968,1969,Short film animated,"Jimmy Murakami, Producer",The Magic Pear Tree,False
1968,1969,Short film animated,"John Hubley and Faith Hubley, Producers",Windy Day,False
1968,1969,Short film animated,"Walt Disney, Producer",Winnie the Pooh and the Blustery Day,True
1968,1969,Short film live action,"George Coe, Sidney Davis and Anthony Lover, Producers",The Dove,False
1968,1969,Short film live action,National Film Board of Canada,Duo,False
1968,1969,Short film live action,"John Astin, Producer",Prelude,False
1968,1969,Short film live action,"Charles Guggenheim, Producer",Robert Kennedy Remembered,True
1968,1969,Sound effects,Warner Bros.-Seven Arts Studio Sound Department,Bullitt,False
1968,1969,Sound effects,Warner Bros.-Seven Arts Studio Sound Department,Finian's Rainbow,False
1968,1969,Sound effects,Columbia Studio Sound Department,Funny Girl,False
1968,1969,Sound effects,Shepperton Studio Sound Department,Oliver!,True
1968,1969,Sound effects,20th Century-Fox Studio Sound Department,Star!,False
1968,1969,Visual effects,"Hal Millar, J. McMillan Johnson",Ice Station Zebra,False
1968,1969,Visual effects,Stanley Kubrick,2001: A Space Odyssey,True
1968,1969,Adapted screenplay,James Goldman,The Lion in Winter,True
1968,1969,Adapted screenplay,Neil Simon,The Odd Couple,False
1968,1969,Adapted screenplay,Vernon Harris,Oliver!,False
1968,1969,Adapted screenplay,Stewart Stern,"Rachel, Rachel",False
1968,1969,Adapted screenplay,Roman Polanski,Rosemary's Baby,False
1968,1969,Adapted screenplay,"Franco Solinas, Gillo Pontecorvo",The Battle of Algiers,False
1968,1969,Adapted screenplay,John Cassavetes,Faces,False
1968,1969,Adapted screenplay,"Ira Wallach, Peter Ustinov",Hot Millions,False
1968,1969,Adapted screenplay,Mel Brooks,The Producers,True
1968,1969,Adapted screenplay,"Stanley Kubrick, Arthur C. Clarke",2001: A Space Odyssey,False
1969,1970,Actor in a leading role,Richard Burton,Anne of the Thousand Days,False
1969,1970,Actor in a leading role,Dustin Hoffman,Midnight Cowboy,False
1969,1970,Actor in a leading role,Peter O'Toole,"Goodbye, Mr. Chips",False
1969,1970,Actor in a leading role,Jon Voight,Midnight Cowboy,False
1969,1970,Actor in a leading role,John Wayne,True Grit,True
1969,1970,Actor in a supporting role,Rupert Crosse,The Reivers,False
1969,1970,Actor in a supporting role,Elliott Gould,Bob & Carol & Ted & Alice,False
1969,1970,Actor in a supporting role,Jack Nicholson,Easy Rider,False
1969,1970,Actor in a supporting role,Anthony Quayle,Anne of the Thousand Days,False
1969,1970,Actor in a supporting role,Gig Young,"They Shoot Horses, Don't They?",True
1969,1970,Actress in a leading role,Genevieve Bujold,Anne of the Thousand Days,False
1969,1970,Actress in a leading role,Jane Fonda,"They Shoot Horses, Don't They?",False
1969,1970,Actress in a leading role,Liza Minnelli,The Sterile Cuckoo,False
1969,1970,Actress in a leading role,Jean Simmons,The Happy Ending,False
1969,1970,Actress in a leading role,Maggie Smith,The Prime of Miss Jean Brodie,True
1969,1970,Actress in a supporting role,Catherine Burns,Last Summer,False
1969,1970,Actress in a supporting role,Dyan Cannon,Bob & Carol & Ted & Alice,False
1969,1970,Actress in a supporting role,Goldie Hawn,Cactus Flower,True
1969,1970,Actress in a supporting role,Sylvia Miles,Midnight Cowboy,False
1969,1970,Actress in a supporting role,Susannah York,"They Shoot Horses, Don't They?",False
1969,1970,Production design,"Art Direction:  Maurice Carter, Lionel Couch;  Set Decoration:  Patrick McLoughlin",Anne of the Thousand Days,False
1969,1970,Production design,"Art Direction:  Robert Boyle, George B. Chan;  Set Decoration:  Edward Boyle, Carl Biddiscombe","Gaily, Gaily",False
1969,1970,Production design,"Art Direction:  John DeCuir, Jack Martin Smith, Herman Blumenthal;  Set Decoration:  Walter M. Scott, George Hopkins, Raphael Bretton","Hello, Dolly!",True
1969,1970,Production design,"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  Jack D. Moore",Sweet Charity,False
1969,1970,Production design,Art Direction:  Harry Horner;  Set Decoration:  Frank McKelvy,"They Shoot Horses, Don't They?",False
1969,1970,Cinematography,Arthur Ibbetson,Anne of the Thousand Days,False
1969,1970,Cinematography,Charles B. Lang,Bob & Carol & Ted & Alice,False
1969,1970,Cinematography,Conrad Hall,Butch Cassidy and the Sundance Kid,True
1969,1970,Cinematography,Harry Stradling,"Hello, Dolly!",False
1969,1970,Cinematography,Daniel Fapp,Marooned,False
1969,1970,Costume design,Margaret Furse,Anne of the Thousand Days,True
1969,1970,Costume design,Ray Aghayan,"Gaily, Gaily",False
1969,1970,Costume design,Irene Sharaff,"Hello, Dolly!",False
1969,1970,Costume design,Edith Head,Sweet Charity,False
1969,1970,Costume design,Donfeld,"They Shoot Horses, Don't They?",False
1969,1970,Director,Arthur Penn,Alice's Restaurant,False
1969,1970,Director,George Roy Hill,Butch Cassidy and the Sundance Kid,False
1969,1970,Director,John Schlesinger,Midnight Cowboy,True
1969,1970,Director,Sydney Pollack,"They Shoot Horses, Don't They?",False
1969,1970,Director,Costa-Gavras,Z,False
1969,1970,Documentary feature,"Bernard Chevry, Producer",Arthur Rubinstein - The Love of Life,True
1969,1970,Documentary feature,"Robert K. Sharpe, Producer",Before the Mountain Was Moved,False
1969,1970,Documentary feature,"Emile de Antonio, Producer",In the Year of the Pig,False
1969,1970,Documentary feature,Comite Organizador de los Juegos de la XIX Olimpiada,The Olympics in Mexico,False
1969,1970,Documentary feature,"Irwin Rosten, Producer",The Wolf Men,False
1969,1970,Documentary short film,"Denis Sanders and Robert M. Fresco, Producers",Czechoslovakia 1968,True
1969,1970,Documentary short film,"Donald Wrye, Producer",An Impression of John Steinbeck: Writer,False
1969,1970,Documentary short film,"Joan Horvath, Producer",Jenny Is a Good Thing,False
