film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture,TMDb Score
Midnight Cowboy,1969,6.0,3.0,4.0,2.0,1.0,5.0,0.0,4.0,0.0,0.0,7.517
My Night at Maud's,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703
Mayerling,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.266
"Me, Natalie",1969,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.688
Adalen 31,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.8
Czechoslovakia 1968,1969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Marooned,1969,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.886
Walking,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Jenny Is a Good Thing,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Butch Cassidy and The Sundance Kid,1969,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,7.605
Arthur Rubinstein - The Love of Life,1969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
True Grit,1969,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,7.4
It's Tough to Be a Bird,1969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917
Bob & Carol & Ted & Alice,1969,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.34
Oh! What a Lovely War,1969,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.458
"They Shoot Horses, Don't They?",1969,9.0,1.0,4.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,7.6
Of Men and Demons,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goodbye, Columbus",1969,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.5
Popi,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.2
The Damned,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.536
Alice's Restaurant,1969,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18
"Gaily, Gaily",1969,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
The Happy Ending,1969,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0
The Brothers Karamazov,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.564
The Assassination Bureau,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.342
Sweet Charity,1969,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.7
The Battle of Neretva,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61
"Hello, Dolly!",1969,7.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.167
The Big Dig,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
The Magic Machines,1969,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
The Italian Job,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.998
King: A Filmed Record...Montgomery to Memphis,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Chariots of the Gods,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.417
My Night at Maud's,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703
I Never Sang for My Father,1970,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
